Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,GPA_Change,GPA_Change_Category,Total_Study_Hours,AI_Study_Ratio,AI_Study_Ratio_Percent,AI_Hours_Group,AI_Usage_Intensity,Traditional_Study_Group,Study_Profile
100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,Intermediate,4,False,18.71,4,Strict_Ban,3,2.758,78.28,Low,0.12199999999999989,Improved,20.34,0.08013765978367748,8.013765978367749,0-2h,Very Low,15-20h,Mostly Traditional
100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,Beginner,1,False,15.78,2,Allowed_With_Citation,6,3.358,67.56,Low,-0.17099999999999982,Declined,20.689999999999998,0.23731271145480912,23.73127114548091,2-5h,Low,15-20h,Mostly Traditional
100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2,True,2.75,2,Allowed_With_Citation,3,3.749,68.81,Medium,0.19799999999999995,Improved,13.23,0.7921390778533636,79.21390778533636,10-15h,Moderate,0-5h,AI-Heavy
100024,Humanities,Senior,3.579,0.45,Ideation,Beginner,1,True,10.61,1,Allowed_With_Citation,8,3.76,55.33,Low,0.1809999999999996,Improved,11.059999999999999,0.040687160940325505,4.068716094032551,0-2h,Very Low,10-15h,Mostly Traditional
100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1,False,8.24,8,Strict_Ban,7,2.588,63.38,Medium,0.2240000000000002,Improved,36.96,0.777056277056277,77.7056277056277,15h+,Very High,5-10h,AI-Heavy
100026,Arts,Senior,3.308,2.38,Ideation,Advanced,4,True,11.33,2,Actively_Encouraged,2,4.0,81.85,High,0.6920000000000002,Improved,13.71,0.1735959153902261,17.35959153902261,2-5h,Low,10-15h,Mostly Traditional
100027,STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,Advanced,5,True,14.29,6,Allowed_With_Citation,2,3.822,82.36,Medium,0.484,Improved,32.91,0.5657854755393499,56.57854755393499,15h+,Very High,10-15h,AI-Heavy
100028,Business,Junior,3.302,23.96,Ideation,Intermediate,2,True,6.54,5,Allowed_With_Citation,1,3.487,67.74,High,0.18500000000000005,Improved,30.5,0.7855737704918033,78.55737704918033,15h+,Very High,5-10h,AI-Heavy
100029,Business,Freshman,3.282,0.68,Ideation,Beginner,1,False,17.89,1,Actively_Encouraged,4,3.088,74.67,Low,-0.19399999999999995,Declined,18.57,0.0366182014001077,3.66182014001077,0-2h,Very Low,15-20h,Mostly Traditional
100030,STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,Advanced,4,True,10.25,5,Allowed_With_Citation,4,4.0,61.29,Medium,0.3620000000000001,Improved,23.08,0.555892547660312,55.5892547660312,10-15h,Moderate,10-15h,AI-Heavy
100031,Business,Senior,3.731,1.26,Direct_Answer_Generation,Intermediate,4,True,16.16,2,Allowed_With_Citation,6,3.989,88.44,Low,0.258,Improved,17.42,0.07233065442020666,7.233065442020665,0-2h,Very Low,15-20h,Mostly Traditional
100032,STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,Intermediate,2,False,11.77,5,Allowed_With_Citation,5,1.342,56.81,Medium,-0.10699999999999998,Declined,12.49,0.05764611689351481,5.764611689351481,0-2h,Very Low,10-15h,Mostly Traditional
100033,STEM,Graduate,2.856,1.27,Direct_Answer_Generation,Advanced,3,False,16.16,3,Allowed_With_Citation,5,3.276,74.03,Medium,0.41999999999999993,Improved,17.43,0.07286288009179576,7.286288009179575,0-2h,Very Low,15-20h,Mostly Traditional
100034,Medical,Senior,3.148,5.56,Summarizing_Reading,Intermediate,5,False,9.89,2,Allowed_With_Citation,1,3.335,89.14,Medium,0.18699999999999983,Improved,15.45,0.3598705501618123,35.98705501618123,5-10h,Moderate,5-10h,Balanced
100035,Medical,Graduate,3.12,19.92,Summarizing_Reading,Beginner,2,True,1.0,7,Allowed_With_Citation,3,3.207,67.2,High,0.08699999999999974,Improved,20.92,0.9521988527724665,95.21988527724665,15h+,Very High,0-5h,AI-Heavy
100036,Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,Intermediate,4,True,3.67,2,Strict_Ban,5,3.553,55.89,High,-0.07900000000000018,Declined,4.84,0.24173553719008264,24.173553719008265,0-2h,Very Low,0-5h,Mostly Traditional
100037,Humanities,Freshman,3.303,0.29,Copywriting/Drafting,Advanced,3,False,7.46,1,Allowed_With_Citation,5,3.145,75.11,Low,-0.15799999999999992,Declined,7.75,0.03741935483870967,3.741935483870967,0-2h,Very Low,5-10h,Mostly Traditional
100038,STEM,Junior,3.671,16.77,Debugging/Troubleshooting,Intermediate,3,True,1.0,5,Allowed_With_Citation,4,3.636,96.68,Low,-0.0349999999999997,Stable,17.77,0.943725379853686,94.3725379853686,15h+,Very High,0-5h,AI-Heavy
100039,Business,Sophomore,2.403,1.58,Ideation,Intermediate,4,True,13.34,1,Allowed_With_Citation,5,2.365,74.3,High,-0.03799999999999981,Stable,14.92,0.10589812332439678,10.589812332439678,0-2h,Very Low,10-15h,Mostly Traditional
100040,Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,Intermediate,3,False,10.81,2,Actively_Encouraged,2,3.452,92.44,Medium,0.3660000000000001,Improved,15.0,0.2793333333333334,27.933333333333337,2-5h,Low,10-15h,Balanced
100041,STEM,Senior,2.31,7.17,Debugging/Troubleshooting,Advanced,3,True,8.95,5,Allowed_With_Citation,8,2.686,84.71,Medium,0.3759999999999999,Improved,16.119999999999997,0.44478908188585614,44.47890818858561,5-10h,Moderate,5-10h,Balanced
100042,Humanities,Senior,3.539,0.41,Summarizing_Reading,Beginner,3,True,11.3,1,Allowed_With_Citation,5,3.812,72.05,Low,0.2729999999999997,Improved,11.71,0.035012809564474806,3.5012809564474807,0-2h,Very Low,10-15h,Mostly Traditional
100043,STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,Beginner,3,False,8.42,3,Allowed_With_Citation,4,3.909,68.22,Medium,0.13199999999999967,Improved,16.48,0.4890776699029126,48.907766990291265,5-10h,Moderate,5-10h,Balanced
100044,Medical,Senior,3.048,4.67,Summarizing_Reading,Beginner,3,False,8.21,4,Strict_Ban,4,3.277,79.79,Medium,0.2290000000000001,Improved,12.88,0.36257763975155277,36.25776397515528,2-5h,Low,5-10h,Balanced
100045,STEM,Junior,3.013,14.47,Debugging/Troubleshooting,Intermediate,3,False,9.36,4,Allowed_With_Citation,7,3.447,62.75,Low,0.43400000000000016,Improved,23.83,0.6072177926982796,60.721779269827955,10-15h,Moderate,5-10h,AI-Heavy
100046,Business,Junior,3.503,6.34,Ideation,Intermediate,2,False,21.22,2,Strict_Ban,5,3.942,99.25,Low,0.43900000000000006,Improved,27.56,0.23004354136429608,23.00435413642961,5-10h,Moderate,20h+,Mostly Traditional
100047,Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,Intermediate,1,False,11.84,4,Allowed_With_Citation,3,4.0,76.67,Medium,0.15799999999999992,Improved,18.1,0.3458563535911602,34.58563535911602,5-10h,Moderate,10-15h,Balanced
100048,Business,Junior,3.511,8.04,Direct_Answer_Generation,Beginner,2,True,10.5,2,Actively_Encouraged,3,3.567,86.73,Medium,0.05600000000000005,Improved,18.54,0.43365695792880254,43.36569579288025,5-10h,Moderate,10-15h,Balanced
100049,Business,Senior,2.645,8.78,Ideation,Intermediate,3,False,5.97,1,Strict_Ban,3,2.884,87.51,High,0.23899999999999988,Improved,14.75,0.5952542372881355,59.52542372881355,5-10h,Moderate,5-10h,AI-Heavy
100050,STEM,Senior,3.115,13.39,Summarizing_Reading,Intermediate,2,True,20.87,5,Allowed_With_Citation,4,3.644,83.76,Medium,0.5289999999999999,Improved,34.260000000000005,0.39083479276123756,39.083479276123754,10-15h,Moderate,20h+,Balanced
100051,Medical,Sophomore,3.577,11.13,Summarizing_Reading,Advanced,4,True,15.85,3,Strict_Ban,6,4.0,61.2,High,0.42300000000000004,Improved,26.98,0.41252779836916237,41.25277983691624,10-15h,Moderate,15-20h,Balanced
100052,Arts,Senior,2.433,11.16,Debugging/Troubleshooting,Beginner,2,True,12.82,6,Actively_Encouraged,5,2.903,69.95,High,0.4700000000000002,Improved,23.98,0.4653878231859883,46.538782318598834,10-15h,Moderate,10-15h,Balanced
100053,Medical,Sophomore,2.958,11.36,Summarizing_Reading,Intermediate,3,True,9.52,5,Allowed_With_Citation,6,3.155,59.46,Low,0.19699999999999962,Improved,20.88,0.5440613026819924,54.406130268199234,10-15h,Moderate,5-10h,AI-Heavy
100054,Medical,Senior,3.732,0.88,Ideation,Intermediate,4,True,12.87,4,Allowed_With_Citation,1,3.885,79.82,Medium,0.15299999999999958,Improved,13.75,0.064,6.4,0-2h,Very Low,10-15h,Mostly Traditional
100055,Business,Junior,3.148,0.16,Summarizing_Reading,Beginner,1,False,15.1,2,Allowed_With_Citation,5,3.393,62.77,Medium,0.24499999999999966,Improved,15.26,0.010484927916120577,1.0484927916120577,0-2h,Very Low,15-20h,Mostly Traditional
100056,Medical,Senior,3.429,20.48,Direct_Answer_Generation,Beginner,2,True,4.24,6,Actively_Encouraged,2,3.521,63.38,High,0.09200000000000008,Improved,24.72,0.8284789644012945,82.84789644012946,15h+,Very High,0-5h,AI-Heavy
100057,STEM,Junior,3.837,2.23,Ideation,Advanced,4,True,14.06,4,Strict_Ban,4,3.988,60.88,Medium,0.1509999999999998,Improved,16.29,0.1368937998772253,13.68937998772253,2-5h,Low,10-15h,Mostly Traditional
100058,STEM,Sophomore,3.249,9.77,Ideation,Advanced,3,True,17.42,4,Allowed_With_Citation,4,3.342,80.19,Medium,0.09299999999999997,Improved,27.19,0.35932328061787416,35.932328061787416,5-10h,Moderate,15-20h,Balanced
100059,STEM,Junior,3.015,2.7,Debugging/Troubleshooting,Beginner,2,False,18.28,3,Allowed_With_Citation,4,3.394,83.39,Medium,0.379,Improved,20.98,0.12869399428026693,12.869399428026693,2-5h,Low,15-20h,Mostly Traditional
100060,Humanities,Sophomore,3.167,14.92,Summarizing_Reading,Beginner,2,False,10.74,2,Strict_Ban,8,3.518,70.28,Medium,0.351,Improved,25.66,0.5814497272018706,58.14497272018706,10-15h,Moderate,10-15h,AI-Heavy
100061,Humanities,Sophomore,3.697,6.6,Ideation,Advanced,3,False,10.29,4,Strict_Ban,5,3.914,77.49,Low,0.21700000000000008,Improved,16.89,0.39076376554174064,39.07637655417406,5-10h,Moderate,10-15h,Balanced
100062,STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,Intermediate,3,False,8.94,1,Allowed_With_Citation,1,3.665,60.08,Medium,0.20199999999999996,Improved,11.41,0.21647677475898336,21.647677475898337,2-5h,Low,5-10h,Mostly Traditional
100063,Arts,Senior,2.164,17.37,Copywriting/Drafting,Beginner,1,False,10.06,6,Strict_Ban,5,2.339,77.44,High,0.17499999999999982,Improved,27.43,0.6332482683193584,63.324826831935844,15h+,Very High,10-15h,AI-Heavy
100064,Humanities,Freshman,2.771,7.02,Copywriting/Drafting,Intermediate,4,False,13.18,2,Allowed_With_Citation,3,2.896,57.43,Low,0.125,Improved,20.2,0.3475247524752475,34.75247524752475,5-10h,Moderate,10-15h,Balanced
100065,STEM,Graduate,3.569,8.2,Ideation,Intermediate,1,False,17.15,2,Actively_Encouraged,4,3.922,75.58,Low,0.3530000000000002,Improved,25.349999999999998,0.3234714003944773,32.34714003944773,5-10h,Moderate,15-20h,Balanced
100066,Business,Freshman,3.074,0.65,Ideation,Intermediate,3,True,14.09,3,Actively_Encouraged,5,3.416,80.16,Medium,0.3420000000000001,Improved,14.74,0.044097693351424695,4.409769335142469,0-2h,Very Low,10-15h,Mostly Traditional
100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4,True,15.32,3,Allowed_With_Citation,2,3.702,80.75,Medium,0.3729999999999998,Improved,22.05,0.3052154195011338,30.521541950113377,5-10h,Moderate,15-20h,Balanced
100068,Arts,Graduate,3.606,1.1,Ideation,Beginner,2,False,17.55,2,Strict_Ban,3,3.758,60.58,Medium,0.15200000000000014,Improved,18.650000000000002,0.058981233243967826,5.898123324396782,0-2h,Very Low,15-20h,Mostly Traditional
100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3,True,6.48,4,Allowed_With_Citation,2,3.879,78.14,High,0.23399999999999999,Improved,23.22,0.7209302325581395,72.09302325581395,15h+,Very High,5-10h,AI-Heavy
100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1,True,7.64,5,Allowed_With_Citation,5,2.951,65.48,Low,0.11299999999999999,Improved,17.259999999999998,0.5573580533024334,55.73580533024334,5-10h,Moderate,5-10h,AI-Heavy
100071,Arts,Graduate,3.047,18.86,Direct_Answer_Generation,Beginner,1,True,13.19,6,Allowed_With_Citation,7,3.295,53.65,High,0.24799999999999978,Improved,32.05,0.5884555382215289,58.84555382215289,15h+,Very High,10-15h,AI-Heavy
100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2,False,9.7,8,Allowed_With_Citation,6,3.326,45.39,Medium,0.20900000000000007,Improved,23.59,0.5888088172954642,58.88088172954642,10-15h,Moderate,5-10h,AI-Heavy
100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3,False,6.39,3,Actively_Encouraged,5,3.687,80.79,Low,0.43599999999999994,Improved,16.36,0.6094132029339854,60.94132029339854,5-10h,Moderate,5-10h,AI-Heavy
100074,Arts,Freshman,2.579,8.72,Ideation,Advanced,3,False,14.07,4,Allowed_With_Citation,3,2.962,63.96,Low,0.383,Improved,22.79,0.3826239578762616,38.26239578762616,5-10h,Moderate,10-15h,Balanced
100075,Business,Freshman,2.919,2.08,Direct_Answer_Generation,Beginner,1,False,19.29,5,Allowed_With_Citation,3,3.389,58.03,Low,0.46999999999999975,Improved,21.369999999999997,0.09733270940570896,9.733270940570895,2-5h,Low,15-20h,Mostly Traditional
100076,Business,Junior,2.023,5.4,Copywriting/Drafting,Beginner,2,False,13.8,2,Allowed_With_Citation,5,2.468,72.32,Medium,0.44499999999999984,Improved,19.200000000000003,0.28125,28.125,5-10h,Moderate,10-15h,Balanced
100077,Arts,Freshman,2.494,7.29,Copywriting/Drafting,Beginner,3,False,6.21,1,Allowed_With_Citation,7,2.393,78.1,Low,-0.10100000000000042,Declined,13.5,0.54,54.0,5-10h,Moderate,5-10h,AI-Heavy
100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4,True,11.39,1,Allowed_With_Citation,2,3.969,85.55,Low,0.3380000000000001,Improved,12.290000000000001,0.07323026851098453,7.3230268510984535,0-2h,Very Low,10-15h,Mostly Traditional
100079,Humanities,Graduate,2.659,8.84,Copywriting/Drafting,Intermediate,2,False,16.3,1,Allowed_With_Citation,8,3.21,77.88,High,0.5510000000000002,Improved,25.14,0.3516308671439936,35.16308671439936,5-10h,Moderate,15-20h,Balanced
100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3,True,14.7,2,Allowed_With_Citation,1,3.293,76.51,Medium,0.43100000000000005,Improved,19.71,0.2541856925418569,25.41856925418569,5-10h,Moderate,10-15h,Balanced
100081,Arts,Senior,3.274,2.79,Copywriting/Drafting,Beginner,2,True,1.96,2,Allowed_With_Citation,1,3.195,69.29,Low,-0.07900000000000018,Declined,4.75,0.5873684210526315,58.73684210526315,2-5h,Low,0-5h,AI-Heavy
100082,Business,Junior,3.332,8.53,Direct_Answer_Generation,Beginner,2,False,12.93,4,Strict_Ban,2,3.421,64.26,Low,0.08899999999999997,Improved,21.46,0.39748369058713884,39.748369058713884,5-10h,Moderate,10-15h,Balanced
100083,Humanities,Graduate,3.221,13.97,Summarizing_Reading,Beginner,1,False,4.38,4,Actively_Encouraged,4,3.418,75.13,Medium,0.19700000000000006,Improved,18.35,0.761307901907357,76.1307901907357,10-15h,Moderate,0-5h,AI-Heavy
100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4,False,17.94,2,Allowed_With_Citation,2,3.691,73.6,Medium,0.2769999999999997,Improved,21.64,0.1709796672828096,17.097966728280962,2-5h,Low,15-20h,Mostly Traditional
100085,Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,Advanced,4,False,12.32,4,Actively_Encouraged,3,2.354,65.13,Low,0.22199999999999998,Improved,20.5,0.3990243902439024,39.90243902439024,5-10h,Moderate,10-15h,Balanced
100086,Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,Intermediate,3,False,18.91,3,Strict_Ban,3,3.334,81.48,Medium,0.2280000000000002,Improved,27.14,0.3032424465733235,30.32424465733235,5-10h,Moderate,15-20h,Balanced
100087,Business,Graduate,3.033,9.65,Ideation,Intermediate,5,True,2.81,2,Strict_Ban,5,3.216,93.82,High,0.18300000000000027,Improved,12.46,0.7744783306581059,77.44783306581058,5-10h,Moderate,0-5h,AI-Heavy
100088,Business,Senior,2.549,13.19,Ideation,Beginner,2,True,11.21,6,Allowed_With_Citation,5,2.855,59.64,Medium,0.30600000000000005,Improved,24.4,0.5405737704918033,54.05737704918033,10-15h,Moderate,10-15h,AI-Heavy
100089,Medical,Graduate,3.367,6.51,Summarizing_Reading,Beginner,3,True,2.53,1,Actively_Encouraged,2,3.389,79.27,High,0.021999999999999797,Stable,9.04,0.720132743362832,72.01327433628319,5-10h,Moderate,0-5h,AI-Heavy
100090,Humanities,Graduate,3.544,34.0,Debugging/Troubleshooting,Beginner,2,False,8.67,6,Actively_Encouraged,1,3.795,68.8,High,0.2509999999999999,Improved,42.67,0.796812749003984,79.6812749003984,15h+,Very High,5-10h,AI-Heavy
100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5,False,14.46,3,Actively_Encouraged,6,2.75,55.09,Medium,0.4590000000000001,Improved,22.37,0.35359856951274027,35.359856951274026,5-10h,Moderate,10-15h,Balanced
100092,Business,Junior,2.592,5.87,Copywriting/Drafting,Intermediate,5,True,8.39,3,Strict_Ban,2,3.139,65.99,High,0.5469999999999997,Improved,14.260000000000002,0.41164095371669,41.164095371669,5-10h,Moderate,5-10h,Balanced
100093,Arts,Senior,2.561,0.16,Debugging/Troubleshooting,Intermediate,5,False,14.86,3,Allowed_With_Citation,1,2.887,68.77,Low,0.32600000000000007,Improved,15.02,0.010652463382157125,1.0652463382157125,0-2h,Very Low,10-15h,Mostly Traditional
100094,Business,Senior,2.778,12.92,Direct_Answer_Generation,Intermediate,2,True,9.91,7,Actively_Encouraged,8,3.17,74.32,Medium,0.3919999999999999,Improved,22.83,0.565922032413491,56.592203241349104,10-15h,Moderate,5-10h,AI-Heavy
100095,Arts,Freshman,3.099,21.32,Summarizing_Reading,Beginner,2,True,12.78,3,Allowed_With_Citation,4,3.378,76.16,Medium,0.2789999999999999,Improved,34.1,0.6252199413489736,62.52199413489736,15h+,Very High,10-15h,AI-Heavy
100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1,False,11.81,1,Allowed_With_Citation,3,3.873,59.56,High,0.10000000000000009,Improved,17.02,0.30611045828437133,30.611045828437135,5-10h,Moderate,10-15h,Balanced
100097,Business,Freshman,2.907,3.32,Direct_Answer_Generation,Intermediate,2,False,8.4,2,Actively_Encouraged,5,2.993,71.8,Medium,0.08599999999999985,Improved,11.72,0.2832764505119454,28.327645051194537,2-5h,Low,5-10h,Balanced
100098,Humanities,Graduate,2.292,3.02,Copywriting/Drafting,Beginner,2,False,9.14,2,Allowed_With_Citation,3,2.918,66.73,Medium,0.6260000000000003,Improved,12.16,0.24835526315789475,24.835526315789476,2-5h,Low,5-10h,Mostly Traditional
100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5,True,5.64,6,Allowed_With_Citation,4,2.473,55.74,Medium,0.45699999999999985,Improved,34.35,0.8358078602620087,83.58078602620087,15h+,Very High,5-10h,AI-Heavy
100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3,False,11.04,6,Allowed_With_Citation,2,2.754,98.76,High,0.09299999999999997,Improved,22.34,0.5058191584601612,50.58191584601612,10-15h,Moderate,10-15h,AI-Heavy
100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3,True,10.46,7,Allowed_With_Citation,6,3.715,62.3,High,0.10299999999999976,Improved,36.29,0.7117663268117939,71.17663268117938,15h+,Very High,10-15h,AI-Heavy
100102,Business,Freshman,2.038,8.9,Debugging/Troubleshooting,Intermediate,3,True,13.27,6,Strict_Ban,4,1.942,55.12,Medium,-0.09599999999999986,Declined,22.17,0.40144339197113216,40.14433919711322,5-10h,Moderate,10-15h,Balanced
100103,Humanities,Graduate,3.786,3.32,Copywriting/Drafting,Beginner,2,True,10.21,5,Allowed_With_Citation,2,4.0,56.37,Medium,0.21399999999999997,Improved,13.530000000000001,0.24538063562453802,24.5380635624538,2-5h,Low,10-15h,Mostly Traditional
100104,Business,Freshman,3.204,4.77,Debugging/Troubleshooting,Intermediate,2,False,13.78,2,Allowed_With_Citation,4,3.348,85.52,Low,0.14399999999999968,Improved,18.549999999999997,0.2571428571428572,25.71428571428572,2-5h,Low,10-15h,Balanced
100105,Medical,Junior,2.076,5.72,Copywriting/Drafting,Intermediate,2,True,13.43,2,Actively_Encouraged,2,2.307,63.93,Medium,0.23099999999999987,Improved,19.15,0.29869451697127936,29.869451697127936,5-10h,Moderate,10-15h,Balanced
100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3,True,8.86,3,Allowed_With_Citation,1,3.234,87.33,Medium,0.262,Improved,18.46,0.5200433369447454,52.00433369447454,5-10h,Moderate,5-10h,AI-Heavy
100107,Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,Advanced,3,True,9.82,2,Strict_Ban,1,2.869,84.71,Low,0.14100000000000001,Improved,16.19,0.3934527486102532,39.34527486102532,5-10h,Moderate,5-10h,Balanced
